team_abbr,date,avg_sentiment,news_count,sentiment_std,avg_vader,avg_textblob,sentiment_3day,sentiment_7day,news_volume_3day
CHA,2025-09-10,0.2932730738681493,1259,0.3518211694822662,0.36344543288324066,0.09173947577442414,0.2932730738681493,0.2932730738681493,1259.0
CHI,2025-09-10,-0.1,315,0.0,0.0,-0.1,-0.1,-0.1,315.0
LAC,2025-09-10,0.0764968625893566,1259,0.3151191050156625,0.050822319301032565,-0.0041699761715647335,0.0764968625893566,0.0764968625893566,1259.0
NO,2025-09-10,0.11121666666666663,630,0.4225021189775745,0.16410000000000002,0.05833333333333332,0.11121666666666663,0.11121666666666663,630.0
NY,2025-09-10,-0.1,315,0.0,0.0,-0.1,-0.1,-0.1,315.0
POR,2025-09-10,0.5267,314,0.0,0.5267,0.0,0.5267,0.5267,314.0
SA,2025-09-10,-0.1,315,0.0,0.0,-0.1,-0.1,-0.1,315.0
